ExcessReturn,MarketReturn,SMB,HML,RMW,CMA,MOM,EPS,HCE,DeltaNetSales,TotalLiability
.048029348,.018597897,.091700643,.024756517,.032753207,.023384361,.3213605,21.82,.17449139,-.005093534,4185462.5
-.002092127,.017168874,.091700643,-.038282137,.040552784,-.0049074842,.39005983,11.5015,.19096564,-.0094410041,3556863.8
.074377008,.10999982,.047291856,-.12744521,-.010955546,-.083219543,.38023308,12.863,.19510888,.038913269,3224273.3
.00061277999,.12517516,.11051265,.060052175,.10372147,-.012080746,.21954688,11.901,.13201916,.024885084,992694.88
-.007719418,.050750013,.037201997,.043674253,.000020400001,-.0032597079,.27270669,13.2425,.19076727,.035881013,2988481.5
.12180984,.093737125,.0245301,.03420978,-.027293103,-.01039198,.26522014,14.344,.19858715,-.040901974,3224273.3
-.05435067,.0076102261,.066151671,.007649356,.024619441,.026911538,.23260647,13.804,.18218333,.000954438,3556863.8
-.021800965,-.048856795,.08758761,-.038282137,.040031746,-.0049074842,.39005983,18.5455,.17845741,-.025571208,2650822.3
.012320182,.10187995,.052020129,.060052175,.000020400001,-.0032597079,.21954688,12.94,.14831494,.062050752,1170331.5
.10617826,.18219486,.12830953,.010884558,.001856757,.10780333,.38023308,12.78,.19369411,.079056248,3544931.8
.074377008,.10999982,.11051265,-.010055248,.001856757,-.0057886778,.28396332,10.972,.20159897,-.020854553,1749467.5
.028369617,-.085462168,-.074169636,-.11851811,-.010955546,-.15097107,.23260647,12.7645,.17502142,.047956895,1150723.9
.012932429,.10187995,.047291856,-.025080921,.015509555,.015097612,.27707663,11.2265,.19076727,.000954438,2953804.8
-.031410076,.067389414,-.035102081,-.16172452,-.04518529,-.24207823,.23260647,11.901,.18048859,-.15560454,1933111.8
-.32835278,-.14246105,.024621382,-.040249262,.0052542728,.015097612,.21954688,12.0415,.13629481,.0096739819,1349975
.094176427,.059414905,.15559757,.025392365,.019712524,-.035983551,.36644459,11.2265,.18218333,-.00064559298,1669273.3
-.044122852,-.021275913,-.0746601,-.16172452,-.015134856,-.10749689,.34123275,14.086,.19526714,.021705952,2686028.3
.094176427,.059414905,.15559757,.026619613,-.043529753,.009085088,.2987774,12.6615,.18102385,.012880193,1563215.1
-.084101833,-.084244236,-.041902907,-.10105571,.0081584472,-.045494221,.27145335,18.5455,.15681152,.045770492,2953804.8
.041707426,.087307759,-.08356864,-.095733277,-.01564314,-.083219543,.28016761,14.994,.18918993,.005869539,1749467.5
.048029348,.060231369,.033002421,.0041357158,.019712524,-.01039198,.3271293,12.2275,.15749641,.021909671,1355007
-.019201918,-.062820822,-.048454408,-.119666,-.0085901907,-.10415152,.38198796,12.68,.13670094,.028465135,1046688.1
.0038819951,.017168874,-.010134074,.043674253,.0033960231,-.0032597079,.21954688,19.030001,.17449139,.005869539,2686028.3
-.021800965,-.093672507,-.075311273,-.095733277,-.027293103,-.18217406,.30190471,15.9045,.15072139,.015030554,1081454.6
.10617826,.053621221,.052076161,.010884558,-.000242372,.009085088,.33778286,13.804,.18918993,-.020854553,2496283
.060737114,.10999982,.029831901,-.049172252,-.088197447,-.022681778,.38574085,11.2505,.18663275,.012880193,2411808
.021864424,.0276141,-.010134074,-.10663295,-.045913264,-.11268844,.39882666,14.9825,.1802554,-.02993712,3556863.8
-.038104471,-.018853094,-.053415801,-.062716663,-.043529753,-.18217406,.27270669,13.5085,.19096564,-.015387067,3410267.8
-.051520154,-.07745605,-.10959058,-.13588192,-.0085901907,-.082931198,.26630524,21.931499,.18740095,.005869539,4623893
.051103592,.060231369,.033002421,.0041357158,.019712524,.009085088,.23260647,11.2505,.20159897,.015030554,3410267.8
.048029348,.060231369,.033002421,.0041357158,.040340222,-.01039198,.44058976,13.3585,.19858715,-.020854553,3313528
-.055927474,-.07745605,-.10959058,-.13588192,.0088756764,-.083219543,.26630524,11.5015,.17567936,-.0024843239,1150723.9
-.030580536,-.03031224,.030745722,-.14436473,-.088197447,-.19323646,.33567804,12.863,.17250939,-.02993712,2447304.8
.094176427,.059414905,.15559757,.025392365,.040340222,.09452299,.45093271,12.0405,.17861179,.077187799,1850374.8
